scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
proportional_fair,32,9,0,2779951.8421875,315,16380
proportional_fair,32,9,1,2802905.675390625,312,16224
proportional_fair,32,9,2,2799505.5203125,313,16276
proportional_fair,32,9,3,2776763.333984375,312,16224
proportional_fair,32,9,4,2811364.276171875,313,16276
proportional_fair,32,9,5,2786140.073828125,315,16380
proportional_fair,32,9,6,2808476.770703125,312,16224
proportional_fair,32,9,7,2778442.893359375,312,16224
proportional_fair,32,9,8,2785782.371484375,312,16224
proportional_fair,32,9,9,2772197.25390625,314,16328
proportional_fair,32,9,10,2806363.938671875,311,16172
proportional_fair,32,9,11,2809932.542578125,312,16224
proportional_fair,32,9,12,2774365.137890625,312,16224
proportional_fair,32,9,13,2798363.8296875,312,16224
proportional_fair,32,9,14,2810326.77265625,312,16224
proportional_fair,32,9,15,2836682.814453125,313,16276
proportional_fair,32,9,16,2777768.20546875,310,16120
proportional_fair,32,9,17,2795155.479296875,315,16380
proportional_fair,32,9,18,2811615.39296875,312,16224
proportional_fair,32,9,19,2800085.55546875,314,16328
proportional_fair,32,9,20,2758835.49140625,312,16224
proportional_fair,32,9,21,2770043.469921875,313,16276
proportional_fair,32,9,22,2803515.929296875,312,16224
proportional_fair,32,9,23,2801934.357421875,311,16172
proportional_fair,32,9,24,2793057.964453125,312,16224
proportional_fair,32,9,25,2797673.033203125,314,16328
proportional_fair,32,9,26,2754296.769140625,310,16120
proportional_fair,32,9,27,2777562.73359375,313,16276
proportional_fair,32,9,28,2813168.833203125,312,16224
proportional_fair,32,9,29,2781405.6734375,315,16380
proportional_fair,32,9,30,2789628.921484375,313,16276
proportional_fair,32,9,31,2767610.07890625,310,16120
