scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
proportional_fair,16,15,0,5545275.358203125,624,32448
proportional_fair,16,15,1,5540779.40859375,625,32500
proportional_fair,16,15,2,5545795.82265625,627,32604
proportional_fair,16,15,3,5534284.944921875,627,32604
proportional_fair,16,15,4,5538600.02109375,623,32396
proportional_fair,16,15,5,5561676.649609375,623,32396
proportional_fair,16,15,6,5532352.537890625,624,32448
proportional_fair,16,15,7,5558271.980078125,624,32448
proportional_fair,16,15,8,5537018.631640625,626,32552
proportional_fair,16,15,9,5532586.3046875,621,32292
proportional_fair,16,15,10,5527266.853125,624,32448
proportional_fair,16,15,11,5512083.790234375,623,32396
proportional_fair,16,15,12,5542700.372265625,627,32604
proportional_fair,16,15,13,5567852.423828125,624,32448
proportional_fair,16,15,14,5589869.425,627,32604
proportional_fair,16,15,15,5583722.33359375,631,32812
