scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
max_c_i,32,4,0,3202500.3484375,326,16952
max_c_i,32,4,1,3222011.88984375,324,16848
max_c_i,32,4,2,3021262.59765625,306,15912
max_c_i,32,4,3,3111981.17734375,313,16276
max_c_i,32,4,4,3255845.6234375,327,17004
max_c_i,32,4,5,3213205.7875,324,16848
max_c_i,32,4,6,3207671.39921875,323,16796
max_c_i,32,4,7,2828173.49921875,286,14872
max_c_i,32,4,8,3196879.428125,323,16796
max_c_i,32,4,9,3099251.6890625,310,16120
max_c_i,32,4,10,2992669.39453125,299,15548
max_c_i,32,4,11,3077477.83203125,307,15964
max_c_i,32,4,12,3089985.21875,312,16224
max_c_i,32,4,13,3315576.65390625,333,17316
max_c_i,32,4,14,2836941.9640625,287,14924
max_c_i,32,4,15,3147982.16953125,316,16432
max_c_i,32,4,16,3438969.4671875,345,17940
max_c_i,32,4,17,2998891.32734375,301,15652
max_c_i,32,4,18,3186705.27734375,320,16640
max_c_i,32,4,19,2898239.04296875,290,15080
max_c_i,32,4,20,3022531.97734375,304,15808
max_c_i,32,4,21,3054392.371875,307,15964
max_c_i,32,4,22,3055613.93203125,307,15964
max_c_i,32,4,23,3166298.9859375,318,16536
max_c_i,32,4,24,3238242.034375,328,17056
max_c_i,32,4,25,3158511.3515625,318,16536
max_c_i,32,4,26,3289885.1125,333,17316
max_c_i,32,4,27,2772462.38046875,280,14560
max_c_i,32,4,28,2835921.61171875,285,14820
max_c_i,32,4,29,3021614.08359375,307,15964
max_c_i,32,4,30,3180191.0078125,322,16744
max_c_i,32,4,31,3158809.37265625,319,16588
