scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
max_c_i,16,8,0,5642568.20625,599,31148
max_c_i,16,8,1,6117324.89921875,648,33696
max_c_i,16,8,2,5943397.49296875,631,32812
max_c_i,16,8,3,6247684.896484375,665,34580
max_c_i,16,8,4,5665683.855859375,602,31304
max_c_i,16,8,5,5934991.50234375,628,32656
max_c_i,16,8,6,5987819.734765625,634,32968
max_c_i,16,8,7,5902691.66796875,629,32708
max_c_i,16,8,8,5823991.315625,619,32188
max_c_i,16,8,9,5908649.1234375,625,32500
max_c_i,16,8,10,5727641.33671875,608,31616
max_c_i,16,8,11,5835118.378125,622,32344
max_c_i,16,8,12,5797959.5859375,618,32136
max_c_i,16,8,13,5720879.6515625,606,31512
max_c_i,16,8,14,5679305.709375,603,31356
max_c_i,16,8,15,6288869.4234375,663,34476
