scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
proportional_fair,32,16,0,2788150.43125,311,16172
proportional_fair,32,16,1,2760650.090234375,307,15964
proportional_fair,32,16,2,2811955.476171875,313,16276
proportional_fair,32,16,3,2814790.71328125,312,16224
proportional_fair,32,16,4,2817726.57109375,311,16172
proportional_fair,32,16,5,2833873.8234375,318,16536
proportional_fair,32,16,6,2803085.58203125,315,16380
proportional_fair,32,16,7,2761123.3484375,309,16068
proportional_fair,32,16,8,2784582.848046875,312,16224
proportional_fair,32,16,9,2814281.734375,311,16172
proportional_fair,32,16,10,2783253.05078125,312,16224
proportional_fair,32,16,11,2785714.037890625,314,16328
proportional_fair,32,16,12,2789115.04609375,315,16380
proportional_fair,32,16,13,2819279.245703125,313,16276
proportional_fair,32,16,14,2781045.17578125,311,16172
proportional_fair,32,16,15,2780658.03125,312,16224
proportional_fair,32,16,16,2812727.9544921876,314,16328
proportional_fair,32,16,17,2758046.774609375,311,16172
proportional_fair,32,16,18,2796325.92109375,316,16432
proportional_fair,32,16,19,2791049.226171875,313,16276
proportional_fair,32,16,20,2817033.26015625,315,16380
proportional_fair,32,16,21,2787231.9453125,313,16276
proportional_fair,32,16,22,2811609.437109375,309,16068
proportional_fair,32,16,23,2817027.67890625,313,16276
proportional_fair,32,16,24,2801603.273828125,311,16172
proportional_fair,32,16,25,2803071.651220703,314,16328
proportional_fair,32,16,26,2790171.630859375,313,16276
proportional_fair,32,16,27,2801091.16796875,315,16380
proportional_fair,32,16,28,2789908.46015625,313,16276
proportional_fair,32,16,29,2753103.379296875,310,16120
proportional_fair,32,16,30,2782413.440625,313,16276
proportional_fair,32,16,31,2797020.237109375,311,16172
