scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
proportional_fair,16,5,0,5548395.012109375,626,32552
proportional_fair,16,5,1,5575381.219921875,629,32708
proportional_fair,16,5,2,5561430.241796875,626,32552
proportional_fair,16,5,3,5536443.59609375,623,32396
proportional_fair,16,5,4,5570549.295703125,624,32448
proportional_fair,16,5,5,5578673.138671875,624,32448
proportional_fair,16,5,6,5537058.521875,624,32448
proportional_fair,16,5,7,5619971.36484375,624,32448
proportional_fair,16,5,8,5517427.981640625,624,32448
proportional_fair,16,5,9,5507618.21875,620,32240
proportional_fair,16,5,10,5548542.118359375,623,32396
proportional_fair,16,5,11,5501724.5015625,622,32344
proportional_fair,16,5,12,5531946.284375,628,32656
proportional_fair,16,5,13,5588659.8296875,632,32864
proportional_fair,16,5,14,5587455.500390625,627,32604
proportional_fair,16,5,15,5553163.038671875,624,32448
