scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
max_c_i,32,9,0,3241655.753125,328,17056
max_c_i,32,9,1,3153395.59375,317,16484
max_c_i,32,9,2,3353591.52421875,340,17680
max_c_i,32,9,3,3196322.40234375,322,16744
max_c_i,32,9,4,3192927.9875,322,16744
max_c_i,32,9,5,2975136.4875,301,15652
max_c_i,32,9,6,3389758.4296875,341,17732
max_c_i,32,9,7,3049540.65,309,16068
max_c_i,32,9,8,2736160.48515625,276,14352
max_c_i,32,9,9,2950231.3984375,296,15392
max_c_i,32,9,10,2992874.30078125,303,15756
max_c_i,32,9,11,3146715.08125,315,16380
max_c_i,32,9,12,3022821.246875,304,15808
max_c_i,32,9,13,3216790.31015625,325,16900
max_c_i,32,9,14,3063022.54375,307,15964
max_c_i,32,9,15,3175737.5390625,320,16640
max_c_i,32,9,16,2786418.83125,280,14560
max_c_i,32,9,17,3129935.71328125,315,16380
max_c_i,32,9,18,3105383.68125,313,16276
max_c_i,32,9,19,3234663.015625,326,16952
max_c_i,32,9,20,2778385.56484375,283,14716
max_c_i,32,9,21,3248718.31953125,327,17004
max_c_i,32,9,22,2823083.03515625,284,14768
max_c_i,32,9,23,3160303.51953125,318,16536
max_c_i,32,9,24,2925543.3703125,295,15340
max_c_i,32,9,25,3064379.55859375,309,16068
max_c_i,32,9,26,2897279.715625,294,15288
max_c_i,32,9,27,3207571.00234375,324,16848
max_c_i,32,9,28,3099796.12734375,314,16328
max_c_i,32,9,29,3254126.33046875,330,17160
max_c_i,32,9,30,3120353.50234375,314,16328
max_c_i,32,9,31,3459614.6296875,348,18096
