scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
max_c_i,16,13,0,6140800.0296875,649,33748
max_c_i,16,13,1,5850832.505078125,625,32500
max_c_i,16,13,2,5732422.405078125,609,31668
max_c_i,16,13,3,5733798.71953125,607,31564
max_c_i,16,13,4,5960027.546875,632,32864
max_c_i,16,13,5,5370493.23203125,570,29640
max_c_i,16,13,6,6332248.290625,672,34944
max_c_i,16,13,7,5558554.61328125,591,30732
max_c_i,16,13,8,5629710.741015625,599,31148
max_c_i,16,13,9,6030553.4515625,641,33332
max_c_i,16,13,10,6076308.50390625,643,33436
max_c_i,16,13,11,5686578.428515625,605,31460
max_c_i,16,13,12,6162943.620703125,654,34008
max_c_i,16,13,13,6081057.4296875,644,33488
max_c_i,16,13,14,5916391.7203125,624,32448
max_c_i,16,13,15,5969191.978125,635,33020
