scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
max_c_i,32,17,0,3080244.715625,310,16120
max_c_i,32,17,1,3209813.84375,323,16796
max_c_i,32,17,2,3286702.9015625,332,17264
max_c_i,32,17,3,3130042.53125,313,16276
max_c_i,32,17,4,3005650.92734375,304,15808
max_c_i,32,17,5,2974571.44765625,301,15652
max_c_i,32,17,6,3107827.4546875,314,16328
max_c_i,32,17,7,2952242.72109375,297,15444
max_c_i,32,17,8,3427964.36484375,345,17940
max_c_i,32,17,9,2953232.015625,298,15496
max_c_i,32,17,10,3018480.853125,303,15756
max_c_i,32,17,11,3217976.84453125,323,16796
max_c_i,32,17,12,3345948.865625,336,17472
max_c_i,32,17,13,3124446.72109375,314,16328
max_c_i,32,17,14,3177150.20625,322,16744
max_c_i,32,17,15,3131504.77578125,316,16432
max_c_i,32,17,16,2865623.08984375,288,14976
max_c_i,32,17,17,2930017.38984375,294,15288
max_c_i,32,17,18,3244559.865625,327,17004
max_c_i,32,17,19,3292813.41015625,332,17264
max_c_i,32,17,20,3035105.4171875,306,15912
max_c_i,32,17,21,3146906.515625,318,16536
max_c_i,32,17,22,3001396.00390625,303,15756
max_c_i,32,17,23,3117567.31484375,314,16328
max_c_i,32,17,24,3254921.76484375,326,16952
max_c_i,32,17,25,2970118.21875,300,15600
max_c_i,32,17,26,3207774.134375,322,16744
max_c_i,32,17,27,3134356.4453125,315,16380
max_c_i,32,17,28,3109441.9609375,314,16328
max_c_i,32,17,29,2714441.58515625,272,14144
max_c_i,32,17,30,3137690.8140625,316,16432
max_c_i,32,17,31,2984494.1234375,302,15704
