scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
proportional_fair,32,1,0,2807167.73359375,316,16432
proportional_fair,32,1,1,2808834.884765625,313,16276
proportional_fair,32,1,2,2798839.48984375,312,16224
proportional_fair,32,1,3,2813182.47265625,314,16328
proportional_fair,32,1,4,2813746.8625,314,16328
proportional_fair,32,1,5,2837487.64375,313,16276
proportional_fair,32,1,6,2822541.406640625,312,16224
proportional_fair,32,1,7,2800899.44765625,312,16224
proportional_fair,32,1,8,2800675.147265625,310,16120
proportional_fair,32,1,9,2768645.803515625,312,16224
proportional_fair,32,1,10,2772227.091796875,314,16328
proportional_fair,32,1,11,2821675.726171875,313,16276
proportional_fair,32,1,12,2793477.18671875,312,16224
proportional_fair,32,1,13,2777895.729296875,311,16172
proportional_fair,32,1,14,2824417.56484375,312,16224
proportional_fair,32,1,15,2818358.5515625,313,16276
proportional_fair,32,1,16,2764276.17578125,311,16172
proportional_fair,32,1,17,2777466.708984375,312,16224
proportional_fair,32,1,18,2785170.972265625,313,16276
proportional_fair,32,1,19,2845721.95234375,312,16224
proportional_fair,32,1,20,2803769.9203125,311,16172
proportional_fair,32,1,21,2814547.971875,312,16224
proportional_fair,32,1,22,2779850.833203125,311,16172
proportional_fair,32,1,23,2797127.96875,311,16172
proportional_fair,32,1,24,2806341.831640625,314,16328
proportional_fair,32,1,25,2795507.1671875,312,16224
proportional_fair,32,1,26,2818722.35078125,309,16068
proportional_fair,32,1,27,2808889.60234375,315,16380
proportional_fair,32,1,28,2827973.109765625,314,16328
proportional_fair,32,1,29,2793826.876171875,313,16276
proportional_fair,32,1,30,2806294.959375,315,16380
proportional_fair,32,1,31,2786474.0140625,312,16224
