scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
round_robin,16,18,0,3469226.722631836,625,32500
round_robin,16,18,1,3396486.3716674806,625,32500
round_robin,16,18,2,3390704.732800293,625,32500
round_robin,16,18,3,3484990.5167022706,625,32500
round_robin,16,18,4,3372581.493310547,625,32500
round_robin,16,18,5,3416764.737414551,625,32500
round_robin,16,18,6,3426324.2113525392,625,32500
round_robin,16,18,7,3355369.9643295286,625,32500
round_robin,16,18,8,3330043.3444335936,625,32500
round_robin,16,18,9,3366082.95513916,625,32500
round_robin,16,18,10,3417900.9358642576,625,32500
round_robin,16,18,11,3449527.7069061277,625,32500
round_robin,16,18,12,3344291.343054199,625,32500
round_robin,16,18,13,3433498.5354522704,625,32500
round_robin,16,18,14,3353777.1824798584,625,32500
round_robin,16,18,15,3351665.435876465,625,32500
