scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
proportional_fair,32,10,0,2808304.68828125,311,16172
proportional_fair,32,10,1,2823382.85859375,311,16172
proportional_fair,32,10,2,2822105.28828125,312,16224
proportional_fair,32,10,3,2814529.75234375,312,16224
proportional_fair,32,10,4,2801358.841015625,312,16224
proportional_fair,32,10,5,2810600.455078125,313,16276
proportional_fair,32,10,6,2774659.481640625,309,16068
proportional_fair,32,10,7,2811497.76484375,309,16068
proportional_fair,32,10,8,2815187.306640625,313,16276
proportional_fair,32,10,9,2805728.841796875,314,16328
proportional_fair,32,10,10,2794758.33203125,312,16224
proportional_fair,32,10,11,2781052.80546875,314,16328
proportional_fair,32,10,12,2786188.5640625,313,16276
proportional_fair,32,10,13,2802315.941796875,310,16120
proportional_fair,32,10,14,2788027.88515625,310,16120
proportional_fair,32,10,15,2829396.309765625,314,16328
proportional_fair,32,10,16,2792664.291015625,314,16328
proportional_fair,32,10,17,2803743.90078125,313,16276
proportional_fair,32,10,18,2813072.062109375,314,16328
proportional_fair,32,10,19,2795643.45390625,315,16380
proportional_fair,32,10,20,2788822.3609375,312,16224
proportional_fair,32,10,21,2817233.346484375,312,16224
proportional_fair,32,10,22,2815250.582421875,314,16328
proportional_fair,32,10,23,2790798.6890625,312,16224
proportional_fair,32,10,24,2804085.26484375,315,16380
proportional_fair,32,10,25,2783252.084375,315,16380
proportional_fair,32,10,26,2832641.32421875,313,16276
proportional_fair,32,10,27,2790837.275,313,16276
proportional_fair,32,10,28,2824358.41875,315,16380
proportional_fair,32,10,29,2786810.52109375,313,16276
proportional_fair,32,10,30,2799481.820703125,311,16172
proportional_fair,32,10,31,2779439.551953125,310,16120
