scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
max_c_i,16,1,0,5965218.89453125,638,33176
max_c_i,16,1,1,6205723.63203125,658,34216
max_c_i,16,1,2,6145512.33828125,650,33800
max_c_i,16,1,3,5824246.250390625,622,32344
max_c_i,16,1,4,5772575.45859375,616,32032
max_c_i,16,1,5,5786821.090234375,613,31876
max_c_i,16,1,6,5794711.19375,610,31720
max_c_i,16,1,7,6132276.3234375,652,33904
max_c_i,16,1,8,5976281.93828125,633,32916
max_c_i,16,1,9,5946823.895703125,633,32916
max_c_i,16,1,10,5703537.096875,606,31512
max_c_i,16,1,11,5654592.39375,602,31304
max_c_i,16,1,12,5940542.13046875,631,32812
max_c_i,16,1,13,6208339.63359375,659,34268
max_c_i,16,1,14,5474341.86171875,582,30264
max_c_i,16,1,15,5628206.94140625,595,30940
