scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
round_robin,16,17,0,3401582.700904846,625,32500
round_robin,16,17,1,3324656.5827377317,625,32500
round_robin,16,17,2,3475485.1090393066,625,32500
round_robin,16,17,3,3509017.5155578614,625,32500
round_robin,16,17,4,3432146.3181991577,625,32500
round_robin,16,17,5,3375373.1939086914,625,32500
round_robin,16,17,6,3363399.7809165954,625,32500
round_robin,16,17,7,3392951.7912166594,625,32500
round_robin,16,17,8,3423052.539453125,625,32500
round_robin,16,17,9,3434891.2799228667,625,32500
round_robin,16,17,10,3397685.8710754393,625,32500
round_robin,16,17,11,3432792.424139404,625,32500
round_robin,16,17,12,3367898.0185409547,625,32500
round_robin,16,17,13,3394911.3594970703,625,32500
round_robin,16,17,14,3532988.8103515627,625,32500
round_robin,16,17,15,3398839.717136383,625,32500
