scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
max_c_i,16,4,0,5843984.165625,618,32136
max_c_i,16,4,1,5713833.179296875,607,31564
max_c_i,16,4,2,6206581.278125,657,34164
max_c_i,16,4,3,5721972.5734375,606,31512
max_c_i,16,4,4,5818829.846875,621,32292
max_c_i,16,4,5,5853631.39140625,623,32396
max_c_i,16,4,6,6016996.61875,643,33436
max_c_i,16,4,7,5998869.13984375,639,33228
max_c_i,16,4,8,6058403.3234375,639,33228
max_c_i,16,4,9,5788290.253125,616,32032
max_c_i,16,4,10,6302007.10546875,670,34840
max_c_i,16,4,11,5523929.46796875,589,30628
max_c_i,16,4,12,5656096.771875,601,31252
max_c_i,16,4,13,5810985.74375,614,31928
max_c_i,16,4,14,5863429.13515625,625,32500
max_c_i,16,4,15,5980349.628125,632,32864
