scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
proportional_fair,32,13,0,2788467.845703125,310,16120
proportional_fair,32,13,1,2794172.581640625,313,16276
proportional_fair,32,13,2,2774594.83203125,311,16172
proportional_fair,32,13,3,2809788.72421875,314,16328
proportional_fair,32,13,4,2793167.065234375,314,16328
proportional_fair,32,13,5,2790017.773046875,313,16276
proportional_fair,32,13,6,2800573.31640625,309,16068
proportional_fair,32,13,7,2809310.328125,311,16172
proportional_fair,32,13,8,2777517.16484375,310,16120
proportional_fair,32,13,9,2787765.83515625,312,16224
proportional_fair,32,13,10,2812953.188671875,311,16172
proportional_fair,32,13,11,2803057.5875,313,16276
proportional_fair,32,13,12,2792786.629296875,315,16380
proportional_fair,32,13,13,2805156.277734375,315,16380
proportional_fair,32,13,14,2783445.45703125,311,16172
proportional_fair,32,13,15,2794381.61640625,311,16172
proportional_fair,32,13,16,2799968.78203125,311,16172
proportional_fair,32,13,17,2803242.925390625,315,16380
proportional_fair,32,13,18,2791569.58671875,315,16380
proportional_fair,32,13,19,2779130.53984375,313,16276
proportional_fair,32,13,20,2793723.72890625,310,16120
proportional_fair,32,13,21,2788741.691015625,312,16224
proportional_fair,32,13,22,2790111.015625,312,16224
proportional_fair,32,13,23,2800772.76953125,312,16224
proportional_fair,32,13,24,2788485.392578125,312,16224
proportional_fair,32,13,25,2802131.09140625,315,16380
proportional_fair,32,13,26,2799642.708984375,314,16328
proportional_fair,32,13,27,2772800.12890625,312,16224
proportional_fair,32,13,28,2812415.69921875,313,16276
proportional_fair,32,13,29,2809033.06171875,313,16276
proportional_fair,32,13,30,2799533.128125,314,16328
proportional_fair,32,13,31,2818156.31328125,314,16328
