scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
proportional_fair,16,3,0,5576948.689453125,627,32604
proportional_fair,16,3,1,5544055.630859375,622,32344
proportional_fair,16,3,2,5556118.38203125,629,32708
proportional_fair,16,3,3,5552248.628125,627,32604
proportional_fair,16,3,4,5559579.8265625,622,32344
proportional_fair,16,3,5,5532755.84921875,622,32344
proportional_fair,16,3,6,5539187.398046875,618,32136
proportional_fair,16,3,7,5544766.8375,623,32396
proportional_fair,16,3,8,5565897.534765625,631,32812
proportional_fair,16,3,9,5570047.73125,624,32448
proportional_fair,16,3,10,5528765.63828125,627,32604
proportional_fair,16,3,11,5567972.805078125,632,32864
proportional_fair,16,3,12,5501683.1421875,622,32344
proportional_fair,16,3,13,5598432.562890625,630,32760
proportional_fair,16,3,14,5543854.98671875,620,32240
proportional_fair,16,3,15,5548399.3265625,624,32448
