scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
proportional_fair,16,11,0,5521564.201953125,623,32396
proportional_fair,16,11,1,5560344.666015625,631,32812
proportional_fair,16,11,2,5515146.458984375,621,32292
proportional_fair,16,11,3,5543904.7828125,627,32604
proportional_fair,16,11,4,5552276.458984375,628,32656
proportional_fair,16,11,5,5565853.144140625,623,32396
proportional_fair,16,11,6,5523102.414453125,623,32396
proportional_fair,16,11,7,5496872.2171875,622,32344
proportional_fair,16,11,8,5517329.577734375,628,32656
proportional_fair,16,11,9,5533058.64296875,625,32500
proportional_fair,16,11,10,5593561.978125,622,32344
proportional_fair,16,11,11,5526034.451171875,624,32448
proportional_fair,16,11,12,5583593.630859375,630,32760
proportional_fair,16,11,13,5553386.878125,627,32604
proportional_fair,16,11,14,5555574.9640625,623,32396
proportional_fair,16,11,15,5578117.041796875,623,32396
