scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
max_c_i,16,19,0,6014079.63828125,640,33280
max_c_i,16,19,1,5686934.37578125,605,31460
max_c_i,16,19,2,5908785.0109375,626,32552
max_c_i,16,19,3,5627470.203125,597,31044
max_c_i,16,19,4,5824758.24375,621,32292
max_c_i,16,19,5,5657259.79140625,604,31408
max_c_i,16,19,6,6023009.749609375,637,33124
max_c_i,16,19,7,5649677.362890625,602,31304
max_c_i,16,19,8,5645429.940625,603,31356
max_c_i,16,19,9,5690053.60234375,601,31252
max_c_i,16,19,10,5875953.201953125,620,32240
max_c_i,16,19,11,6187620.040234375,654,34008
max_c_i,16,19,12,6615118.981640625,706,36712
max_c_i,16,19,13,5985544.4375,638,33176
max_c_i,16,19,14,5747210.418359375,608,31616
max_c_i,16,19,15,5994448.340625,638,33176
