scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
round_robin,32,18,0,1723384.8193603517,313,16276
round_robin,32,18,1,1687427.7051849365,313,16276
round_robin,32,18,2,1672043.7719787597,313,16276
round_robin,32,18,3,1718194.5389190675,313,16276
round_robin,32,18,4,1792601.991064453,313,16276
round_robin,32,18,5,1679171.2511795044,313,16276
round_robin,32,18,6,1690025.726098633,313,16276
round_robin,32,18,7,1670140.021233368,313,16276
round_robin,32,18,8,1750311.1887573241,313,16276
round_robin,32,18,9,1748467.741796875,313,16276
round_robin,32,18,10,1781461.8544311523,313,16276
round_robin,32,18,11,1658930.8546653748,313,16276
round_robin,32,18,12,1708872.5900817872,313,16276
round_robin,32,18,13,1655219.7076171874,313,16276
round_robin,32,18,14,1743460.8569396972,313,16276
round_robin,32,18,15,1744045.821459961,313,16276
round_robin,32,18,16,1705443.0255004882,312,16224
round_robin,32,18,17,1671118.65703125,312,16224
round_robin,32,18,18,1666757.5141235352,312,16224
round_robin,32,18,19,1718496.7148986817,312,16224
round_robin,32,18,20,1672167.8037124635,312,16224
round_robin,32,18,21,1642630.7573913573,312,16224
round_robin,32,18,22,1604148.8637908935,312,16224
round_robin,32,18,23,1655098.5803466798,312,16224
round_robin,32,18,24,1687795.0871154785,312,16224
round_robin,32,18,25,1767168.0541213988,312,16224
round_robin,32,18,26,1687396.9775878906,312,16224
round_robin,32,18,27,1642319.0984252929,312,16224
round_robin,32,18,28,1667292.0828125,312,16224
round_robin,32,18,29,1680916.826712036,312,16224
round_robin,32,18,30,1636348.6859710694,312,16224
round_robin,32,18,31,1678171.321221924,312,16224
