scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
round_robin,32,14,0,1779617.3103759766,313,16276
round_robin,32,14,1,1705491.9688720703,313,16276
round_robin,32,14,2,1722358.0101745606,313,16276
round_robin,32,14,3,1742880.4412109375,313,16276
round_robin,32,14,4,1676488.069909668,313,16276
round_robin,32,14,5,1663304.7901245118,313,16276
round_robin,32,14,6,1727801.6112487793,313,16276
round_robin,32,14,7,1729202.3246582032,313,16276
round_robin,32,14,8,1737160.5269954682,313,16276
round_robin,32,14,9,1719790.3015625,313,16276
round_robin,32,14,10,1649065.1209537506,313,16276
round_robin,32,14,11,1712152.487072754,313,16276
round_robin,32,14,12,1742079.5109527588,313,16276
round_robin,32,14,13,1765242.5185195922,313,16276
round_robin,32,14,14,1640406.8230834962,313,16276
round_robin,32,14,15,1684968.7860961915,313,16276
round_robin,32,14,16,1736270.8089111329,312,16224
round_robin,32,14,17,1730037.2464538575,312,16224
round_robin,32,14,18,1701954.8315551758,312,16224
round_robin,32,14,19,1674779.6071044921,312,16224
round_robin,32,14,20,1691438.0261596679,312,16224
round_robin,32,14,21,1752232.96171875,312,16224
round_robin,32,14,22,1711730.2349761962,312,16224
round_robin,32,14,23,1631389.6510620117,312,16224
round_robin,32,14,24,1686111.2518432618,312,16224
round_robin,32,14,25,1713781.2335968018,312,16224
round_robin,32,14,26,1670720.480847168,312,16224
round_robin,32,14,27,1728741.963354492,312,16224
round_robin,32,14,28,1642620.7346420288,312,16224
round_robin,32,14,29,1689776.616809082,312,16224
round_robin,32,14,30,1748306.3322143555,312,16224
round_robin,32,14,31,1769597.7890563966,312,16224
