scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
max_c_i,16,17,0,5992879.251171875,637,33124
max_c_i,16,17,1,5725048.98984375,606,31512
max_c_i,16,17,2,6075370.165625,646,33592
max_c_i,16,17,3,6301496.340234375,672,34944
max_c_i,16,17,4,5989732.8421875,636,33072
max_c_i,16,17,5,5842561.87578125,624,32448
max_c_i,16,17,6,5588939.03671875,596,30992
max_c_i,16,17,7,5985438.62578125,636,33072
max_c_i,16,17,8,6016224.9578125,638,33176
max_c_i,16,17,9,5558585.79765625,593,30836
max_c_i,16,17,10,5507589.65390625,582,30264
max_c_i,16,17,11,5903846.591015625,627,32604
max_c_i,16,17,12,6176824.34296875,653,33956
max_c_i,16,17,13,5939515.4796875,632,32864
max_c_i,16,17,14,5770591.105078125,615,31980
max_c_i,16,17,15,5705124.990625,607,31564
