scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
proportional_fair,16,12,0,5544448.1630859375,624,32448
proportional_fair,16,12,1,5534947.774609375,620,32240
proportional_fair,16,12,2,5590048.96875,627,32604
proportional_fair,16,12,3,5592003.63046875,625,32500
proportional_fair,16,12,4,5520761.353125,630,32760
proportional_fair,16,12,5,5579201.11796875,628,32656
proportional_fair,16,12,6,5548830.69453125,625,32500
proportional_fair,16,12,7,5516735.12578125,619,32188
proportional_fair,16,12,8,5560271.65625,622,32344
proportional_fair,16,12,9,5566467.780078125,633,32916
proportional_fair,16,12,10,5589613.764453125,625,32500
proportional_fair,16,12,11,5531454.691796875,626,32552
proportional_fair,16,12,12,5582516.001171875,623,32396
proportional_fair,16,12,13,5495559.45390625,622,32344
proportional_fair,16,12,14,5530794.4453125,628,32656
proportional_fair,16,12,15,5528768.330859375,623,32396
