scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
max_c_i,16,7,0,6010616.54375,636,33072
max_c_i,16,7,1,5832872.62109375,622,32344
max_c_i,16,7,2,5643805.394921875,601,31252
max_c_i,16,7,3,5717438.92109375,611,31772
max_c_i,16,7,4,6045813.15078125,645,33540
max_c_i,16,7,5,5985244.71484375,634,32968
max_c_i,16,7,6,6004834.23125,636,33072
max_c_i,16,7,7,6155975.2796875,652,33904
max_c_i,16,7,8,5937731.3953125,635,33020
max_c_i,16,7,9,5965013.540234375,636,33072
max_c_i,16,7,10,5540067.06640625,590,30680
max_c_i,16,7,11,6130777.98671875,652,33904
max_c_i,16,7,12,5754963.60859375,611,31772
max_c_i,16,7,13,5481393.5625,583,30316
max_c_i,16,7,14,6376852.016796875,683,35516
max_c_i,16,7,15,5422521.334765625,573,29796
