scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
proportional_fair,16,10,0,5562294.993359375,626,32552
proportional_fair,16,10,1,5568216.56484375,624,32448
proportional_fair,16,10,2,5578894.498046875,625,32500
proportional_fair,16,10,3,5597021.32109375,625,32500
proportional_fair,16,10,4,5557040.878125,624,32448
proportional_fair,16,10,5,5572277.37421875,621,32292
proportional_fair,16,10,6,5606312.437890625,629,32708
proportional_fair,16,10,7,5564456.405078125,625,32500
proportional_fair,16,10,8,5584076.651953125,629,32708
proportional_fair,16,10,9,5535475.051171875,624,32448
proportional_fair,16,10,10,5584927.25703125,626,32552
proportional_fair,16,10,11,5527754.371484375,626,32552
proportional_fair,16,10,12,5542987.7,624,32448
proportional_fair,16,10,13,5556459.238671875,619,32188
proportional_fair,16,10,14,5518099.247265625,625,32500
proportional_fair,16,10,15,5591103.641796875,628,32656
