scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
round_robin,32,5,0,1689569.1561035155,313,16276
round_robin,32,5,1,1668021.6418579102,313,16276
round_robin,32,5,2,1756263.9729492187,313,16276
round_robin,32,5,3,1691148.2858135223,313,16276
round_robin,32,5,4,1720464.7036254883,313,16276
round_robin,32,5,5,1645819.41770401,313,16276
round_robin,32,5,6,1735701.1428710937,313,16276
round_robin,32,5,7,1719254.121496582,313,16276
round_robin,32,5,8,1725072.0549072265,313,16276
round_robin,32,5,9,1632496.8742660522,313,16276
round_robin,32,5,10,1733491.0185211182,313,16276
round_robin,32,5,11,1738473.1029541015,313,16276
round_robin,32,5,12,1614757.1465026855,313,16276
round_robin,32,5,13,1691379.7750442505,313,16276
round_robin,32,5,14,1652397.0510894775,313,16276
round_robin,32,5,15,1606653.5337524414,313,16276
round_robin,32,5,16,1700765.7244972228,312,16224
round_robin,32,5,17,1639951.7291259766,312,16224
round_robin,32,5,18,1727894.215234375,312,16224
round_robin,32,5,19,1709097.4162475585,312,16224
round_robin,32,5,20,1669427.2154052735,312,16224
round_robin,32,5,21,1696549.67935791,312,16224
round_robin,32,5,22,1698562.3877319335,312,16224
round_robin,32,5,23,1704335.384729004,312,16224
round_robin,32,5,24,1664429.423123169,312,16224
round_robin,32,5,25,1672053.9529663087,312,16224
round_robin,32,5,26,1684517.6778564453,312,16224
round_robin,32,5,27,1754861.0349472046,312,16224
round_robin,32,5,28,1651182.2110229493,312,16224
round_robin,32,5,29,1647208.990197754,312,16224
round_robin,32,5,30,1752916.2344665527,312,16224
round_robin,32,5,31,1681969.5794403076,312,16224
