scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
proportional_fair,16,2,0,5544795.29453125,629,32708
proportional_fair,16,2,1,5574580.165625,628,32656
proportional_fair,16,2,2,5462801.948828125,623,32396
proportional_fair,16,2,3,5564634.67890625,627,32604
proportional_fair,16,2,4,5541160.744921875,629,32708
proportional_fair,16,2,5,5553012.648828125,627,32604
proportional_fair,16,2,6,5485416.515234375,625,32500
proportional_fair,16,2,7,5549716.10234375,632,32864
proportional_fair,16,2,8,5545018.16171875,621,32292
proportional_fair,16,2,9,5553259.74140625,623,32396
proportional_fair,16,2,10,5505686.01953125,627,32604
proportional_fair,16,2,11,5489305.310546875,621,32292
proportional_fair,16,2,12,5571656.96875,624,32448
proportional_fair,16,2,13,5533548.798046875,625,32500
proportional_fair,16,2,14,5492280.10078125,621,32292
proportional_fair,16,2,15,5546996.948046875,618,32136
