scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
max_c_i,16,0,0,6118356.32421875,646,33592
max_c_i,16,0,1,6044450.478125,641,33332
max_c_i,16,0,2,5932173.42421875,628,32656
max_c_i,16,0,3,5892755.10859375,624,32448
max_c_i,16,0,4,6139816.601171875,653,33956
max_c_i,16,0,5,5391010.0265625,575,29900
max_c_i,16,0,6,6023168.465625,640,33280
max_c_i,16,0,7,5875161.471875,626,32552
max_c_i,16,0,8,5878382.60390625,622,32344
max_c_i,16,0,9,5837350.383984375,621,32292
max_c_i,16,0,10,5671899.778125,600,31200
max_c_i,16,0,11,5785716.01484375,616,32032
max_c_i,16,0,12,5678302.4890625,601,31252
max_c_i,16,0,13,6304277.183203125,671,34892
max_c_i,16,0,14,5958029.298828125,632,32864
max_c_i,16,0,15,5730082.246875,604,31408
