pathloss,alpha,sched,carga,seed_count,jfi_slots_mean,jfi_slots_std,gini_slots_mean,gini_slots_std,j_beta_-3.0_mean,j_beta_-3.0_std,j_beta_-2.0_mean,j_beta_-2.0_std,j_beta_-1.0_mean,j_beta_-1.0_std,j_beta_+0.0_mean,j_beta_+0.0_std,j_beta_+0.5_mean,j_beta_+0.5_std,j_beta_+0.9_mean,j_beta_+0.9_std
False,,MaxCI,32,50,0.9971535464300004,0.0007107444427435301,0.029701124999999995,0.003766394792813369,0.9943242681123633,0.0014073341474489514,0.9957365408482481,0.001060412468835781,0.9971535464300005,0.0007107444427435437,0.9985748465126424,0.00035753069393108767,0.9992869694430727,0.00017935169981827504,0.9998573239862139,3.596851397429639e-05
False,,PF,32,50,0.9999665804113285,9.815260050856188e-06,0.0031502500000000076,0.000497240407609033,0.9999331768461309,1.9613485719690912e-05,0.9999498766043345,1.4716470567082383e-05,0.9999665804113285,9.815260050883449e-06,0.9999832882242853,4.909790825912539e-06,0.9999916436195134,2.4554395260225606e-06,0.999998328645344,4.911753376135604e-07
False,,RR,32,50,0.9999974400065536,0.0,0.0007999999999999119,0.0,0.9999948800502436,1.1214946133455537e-16,0.9999961600221186,2.2429892266911074e-16,0.9999974400065536,0.0,0.9999987200002727,1.1214946133455537e-16,0.9999993599995903,1.1214946133455537e-16,0.9999998719998505,1.1214946133455537e-16
True,1.5,MaxCI,32,50,0.13503407618228627,0.06715844620279546,0.8363456249999999,0.06991993355388154,0.10653249174206547,0.051585336449882994,0.1155194267236789,0.05689431352339008,0.1350340761822863,0.06715844620279547,0.20382482784967046,0.09530356785630908,0.3460157023248426,0.1314298505502403,0.7257376609327703,0.16056483743530703
True,1.5,PF,32,50,0.9993577946714116,0.00040295493880115744,0.012016250000000013,0.003005960808569062,0.9986697292853373,0.0008645480010917439,0.9990197504568169,0.0006258840643853822,0.9993577946714116,0.00040295493880114605,0.9996843741564745,0.00019468208728540411,0.999843524558016,9.570769010132652e-05,0.9999689158875058,1.8886379349357708e-05
True,1.5,RR,32,50,0.9999974400065536,0.0,0.0007999999999999119,0.0,0.9999948800502436,1.1214946133455537e-16,0.9999961600221186,2.2429892266911074e-16,0.9999974400065536,0.0,0.9999987200002727,1.1214946133455537e-16,0.9999993599995903,1.1214946133455537e-16,0.9999998719998505,1.1214946133455537e-16
True,2.0,MaxCI,32,50,0.10245109518315741,0.050962312906037976,0.88660375,0.05041451283383546,0.08530145826877923,0.04088986398899166,0.09080572056845136,0.04436331488442296,0.10245109518315744,0.050962312906037976,0.1423875505177393,0.06949192902877407,0.23202298602537616,0.10110030857848562,0.5335008502113054,0.18268757890624032
True,2.0,PF,32,50,0.9988087205056568,0.0008699341834966567,0.016427375000000008,0.004349131959852352,0.9975015514555801,0.0019402102988733654,0.9981704693055985,0.0013774802916103016,0.9988087205056569,0.0008699341834966604,0.9994179845650852,0.0004125086749893646,0.9997122893183339,0.00020096170890401876,0.9999429749866781,3.937578995563387e-05
True,2.0,RR,32,50,0.9999974400065536,0.0,0.0007999999999999119,0.0,0.9999948800502436,1.1214946133455537e-16,0.9999961600221186,2.2429892266911074e-16,0.9999974400065536,0.0,0.9999987200002727,1.1214946133455537e-16,0.9999993599995903,1.1214946133455537e-16,0.9999998719998505,1.1214946133455537e-16
True,2.5,MaxCI,32,50,0.08608027739012612,0.04294729816114746,0.91014275,0.040705155742459184,0.07425903660357162,0.03562854345207182,0.07810837580657326,0.0382070725995794,0.08608027739012612,0.04294729816114746,0.1125653655117512,0.05593736789107005,0.17116673081184042,0.07815257948736273,0.3840121669361809,0.15032299856109452
True,2.5,PF,32,50,0.9979784056085785,0.001505046415512964,0.021220624999999993,0.00612627840287358,0.995704564874372,0.003410435785197514,0.9968751208095468,0.002401965078460436,0.9979784056085785,0.0015050464155129534,0.9990185507468808,0.0007083427056928206,0.9995163306929699,0.00034385787936501585,0.9999043680532204,6.718970728299523e-05
True,2.5,RR,32,50,0.9999974400065536,0.0,0.0007999999999999119,0.0,0.9999948800502436,1.1214946133455537e-16,0.9999961600221186,2.2429892266911074e-16,0.9999974400065536,0.0,0.9999987200002727,1.1214946133455537e-16,0.9999993599995903,1.1214946133455537e-16,0.9999998719998505,1.1214946133455537e-16
True,3.0,MaxCI,32,50,0.07607851984336296,0.038082620077978024,0.9231875,0.03523830479747856,0.06726445839283214,0.032388153253965914,0.07017611858715161,0.03443586952252728,0.07607851984336296,0.03808262007797803,0.09524748391397252,0.047909068718769654,0.13677696806941225,0.06445591533114911,0.29118170192572385,0.12068406766598967
