sched,carga,pathloss,alpha,seed,jfi_slots,jfi_throughput,jfi_win,starv_p95,starv_max,throughput_aggregate_bps,throughput_mean_per_ue_bps,thr_5pct,nunca,gini_slots,gini_throughput,slots_vec,thr_vec,j_beta_-3.0,j_beta_-2.0,j_beta_-1.0,j_beta_+0.0,j_beta_+0.5,j_beta_+0.9
RR,2,False,,7,1.0,0.9999974047272037,1.0,2.0,2,54514402.0,27257201.0,27217681.1,0,0.0,0.0008054935648014183,"5000,5000","27301112.000,27213290.000",1.0,1.0,1.0,1.0,1.0000000000000002,1.0
MaxCI,2,False,,7,0.9999967600104975,0.9999955454821392,0.9556477194175962,5.0,20,68259988.0,34129994.0,34065163.4,0,0.0008999999999999009,0.0010552887879207162,"5009,4991","34202028.000,34057960.000",0.9999935200804804,0.9999951400354291,0.9999967600104975,0.9999983800004374,0.9999991899993441,0.9999998379997603
PF,2,False,,7,0.9999967600104975,0.9999999358670385,0.9733014281581642,5.0,12,67997428.0,33998714.0,33990965.0,0,0.0008999999999999009,0.0001266224363662971,"5009,4991","33990104.000,34007324.000",0.9999935200804804,0.9999951400354291,0.9999967600104975,0.9999983800004374,0.9999991899993441,0.9999998379997603
RR,2,False,,8,1.0,0.9999994651943925,1.0,2.0,2,54209996.0,27104998.0,27087158.2,0,0.0,0.00036565212069006314,"5000,5000","27124820.000,27085176.000",1.0,1.0,1.0,1.0,1.0000000000000002,1.0
MaxCI,2,False,,8,0.9999910000809993,0.9999997161937095,0.9553776394738472,5.0,13,68341696.0,34170848.0,34154464.4,0,0.0015000000000000568,0.0002663674018275053,"5015,4985","34189052.000,34152644.000",0.9999820006209748,0.999986500273369,0.9999910000809994,0.999995500003375,0.9999977499949372,0.9999995499981505
PF,2,False,,8,0.9999729607311418,0.9999935616727729,0.973368063458087,5.0,12,68082448.0,34041224.0,33963485.6,0,0.0025999999999999357,0.0012686970362758565,"5026,4974","34127600.000,33954848.000",0.9999459256048869,0.9999594424675036,0.9999729607311418,0.9999864800304648,0.9999932399543017,0.999998647983305
RR,2,False,,9,1.0,0.9999815371809365,1.0,2.0,2,54393912.0,27196956.0,27091780.2,0,0.0,0.002148438965007715,"5000,5000","27313818.000,27080094.000",1.0,1.0,1.0,1.0,1.0000000000000002,1.0
MaxCI,2,False,,9,0.9999985600020735,0.9999951734335489,0.9571093206609309,5.0,14,68196360.0,34098180.0,34030759.2,0,0.0005999999999999339,0.0010984750505744767,"4994,5006","34173092.000,34023268.000",0.9999971200158974,0.9999978400069983,0.9999985600020734,0.9999992800000863,0.9999996399998705,0.9999999279999526
PF,2,False,,9,0.9999855602085106,0.9999999738804123,0.9719502566624415,5.0,11,67939004.0,33969502.0,33964561.0,0,0.0019000000000000128,8.080777869512445e-05,"4981,5019","33964012.000,33974992.000",0.9999711215984999,0.999978340703708,0.9999855602085106,0.999992780008688,0.9999963899869678,0.999999277995239
RR,2,False,,10,1.0,0.9999533040935091,1.0,2.0,2,54208910.0,27104455.0,26937756.1,0,0.0,0.003416799931966974,"5000,5000","27289676.000,26919234.000",1.0,1.0,1.0,1.0,1.0000000000000002,1.0
MaxCI,2,False,,10,0.999996000016,0.9999814753906762,0.9586921018011039,5.0,15,68611460.0,34305730.0,34172841.4,0,0.0009999999999998899,0.0021520311621412436,"5010,4990","34453384.000,34158076.000",0.9999920001226644,0.9999940000539995,0.9999960000160001,0.9999980000006666,0.9999989999990001,0.9999997999996347
PF,2,False,,10,0.999999000001,0.9999999919803763,0.9708461134644358,5.0,12,68384580.0,34192290.0,34189534.2,0,0.0004999999999999449,4.477617614973006e-05,"4995,5005","34195352.000,34189228.000",0.9999980000076667,0.999998500003375,0.9999990000010001,0.9999995000000418,0.9999997499999372,0.9999999499999773
RR,2,False,,11,1.0,0.9999993150227743,1.0,2.0,2,54446786.0,27223393.0,27203115.1,0,0.0,0.00041381689637298713,"5000,5000","27245924.000,27200862.000",1.0,1.0,1.0,1.0,1.0000000000000002,1.0
MaxCI,2,False,,11,0.9999998400000256,0.9999985991248027,0.9586168990506347,5.0,16,68642212.0,34321106.0,34284546.2,0,0.00019999999999997797,0.0005917932831185357,"5002,4998","34280484.000,34361728.000",0.9999996800001962,0.9999997600000863,0.9999998400000257,0.9999999200000012,0.9999999599999985,0.9999999919999994
PF,2,False,,11,0.9999993600004096,0.9999986014956682,0.9718860654485718,5.0,14,68399336.0,34199668.0,34163268.4,0,0.00039999999999995595,0.0005912922897379769,"4996,5004","34159224.000,34240112.000",0.9999987200031403,0.9999990400013825,0.9999993600004097,0.999999680000017,0.9999998399999744,0.9999999679999907
RR,2,False,,12,1.0,0.999939966395754,1.0,2.0,2,54313372.0,27156686.0,26967308.0,0,0.0,0.0038741840591300925,"5000,5000","27367106.000,26946266.000",1.0,1.0,1.0,1.0,1.0000000000000002,1.0
MaxCI,2,False,,12,0.9997178396369408,0.9996297585714442,0.9534792234017818,5.0,13,68425920.0,34212960.0,33620367.6,0,0.008399999999999963,0.009622610846883761,"5084,4916","34871396.000,33554524.000",0.9994361299438543,0.999576908660974,0.999717839636941,0.9998588833188613,0.9999294350205836,0.9999858861807839
PF,2,False,,12,0.9999932400456973,0.9999773112273984,0.9716377212272782,5.0,12,68152360.0,34076180.0,33930095.6,0,0.0013000000000000789,0.002381663672395229,"5013,4987","34238496.000,33913864.000",0.9999864803503375,0.9999898601542269,0.9999932400456976,0.9999966200019041,0.9999983099971439,0.9999996619989566
RR,2,False,,13,1.0,0.9999771132625785,1.0,2.0,2,54473360.0,27236680.0,27119408.2,0,0.0,0.002392031627937108,"5000,5000","27366982.000,27106378.000",1.0,1.0,1.0,1.0,1.0000000000000002,1.0
