carga,jfi_homog_sem_pl,jfi_UMi_NLOS,pl_range_dB
2,0.9999910000809993,0.9966932111318353,127.7~128.3
4,0.9990607230705979,0.25120356147969025,89.8~128.2
8,0.9994435098537134,0.13473881075558916,106.5~135.8
16,0.9990460309259894,0.06343412586272441,101.9~135.4
32,0.9981040813354217,0.06150689733426155,109.5~135.9
