cenario,carga,jfi_slots_mean,jfi_slots_bootstrap_lo,jfi_slots_bootstrap_hi,seed_count,injusto_mean(<0.5)
homogeneo,2,0.9999372173743828,0.9999139847277926,0.9999575402783666,50,0
homogeneo,4,0.9996878930829703,0.9996088002149744,0.9997659115840681,50,0
homogeneo,8,0.9993290249190945,0.9992578533038146,0.999394644196612,50,0
homogeneo,16,0.9985257862620276,0.9983770872039915,0.998664820109397,50,0
homogeneo,32,0.9971535464300004,0.9969665069506525,0.9973520496623147,50,0
a=1.5,2,0.8595853958494931,0.8164716946516413,0.8980901037921597,50,0
a=1.5,4,0.6945675742805697,0.6384245332182265,0.7489247674381954,50,0
a=1.5,8,0.4584647469341386,0.4040142371312343,0.5194953463758709,50,1
a=1.5,16,0.2606053253930238,0.21908294534534595,0.304089726035251,50,1
a=1.5,32,0.13503407618228627,0.11710039689178608,0.15469881907185903,50,1
a=2.0,2,0.8213211189084698,0.7749609193284728,0.8682244056359909,50,0
a=2.0,4,0.6228323944689581,0.5643292199376871,0.6788987712109061,50,0
a=2.0,8,0.3739029376282796,0.3265572643682044,0.4258969263760898,50,1
a=2.0,16,0.20095782901878864,0.16995752397730043,0.23743183112036378,50,1
a=2.0,32,0.10245109518315741,0.08882120155027766,0.11612375851371283,50,1
a=2.5,2,0.7901848109464216,0.739568164279753,0.8388166247067355,50,0
a=2.5,4,0.5688227999966979,0.5122646961024523,0.6268757713479681,50,0
a=2.5,8,0.31903442365020834,0.2771604618785633,0.3659737042791739,50,1
a=2.5,16,0.16781206750927985,0.14317213948347676,0.19515481888355535,50,1
a=2.5,32,0.08608027739012612,0.07506517246356506,0.09827910276842187,50,1
a=3.0,2,0.7645411965626756,0.7123925155929414,0.8151148969659916,50,0
a=3.0,4,0.527021165596941,0.4721682161254126,0.581826900747356,50,0
a=3.0,8,0.2813739962211036,0.24424378852409448,0.32159257633044724,50,1
a=3.0,16,0.14719447973287317,0.12591856363204312,0.17053839175447813,50,1
a=3.0,32,0.07607851984336296,0.06578005660129942,0.08723754483461463,50,1
a=3.5,2,0.743502627710241,0.6922267940978202,0.7967392751622032,50,0
a=3.5,4,0.49497475468535745,0.4446367559031889,0.5505805203561023,50,1
a=3.5,8,0.25484557424237186,0.22111057214668753,0.291664721017929,50,1
a=3.5,16,0.13332884500500694,0.11332602127199995,0.1535845507212514,50,1
a=3.5,32,0.0693268350263914,0.06017681452338553,0.07927620684887583,50,1
a=4.0,2,0.725716283208946,0.6746771360503798,0.7788195985654824,50,0
a=4.0,4,0.4691769036684611,0.42053440931269265,0.5242779426634793,50,1
a=4.0,8,0.23480875666914067,0.20569979742087016,0.2670376063714332,50,1
a=4.0,16,0.12339656368593736,0.10568512815933195,0.1422730700716995,50,1
a=4.0,32,0.06438759151981367,0.05569709700440876,0.07310712219981585,50,1
