sched,carga,pathloss,alpha,seed_count,jfi_slots_mean,jfi_slots_std,jfi_slots_ci95,jfi_throughput_mean,jfi_throughput_std,jfi_throughput_ci95,jfi_win_mean,jfi_win_std,jfi_win_ci95,starv_p95_mean,starv_p95_std,starv_p95_ci95,starv_max_mean,starv_max_std,starv_max_ci95,throughput_aggregate_bps_mean,throughput_aggregate_bps_std,throughput_aggregate_bps_ci95,throughput_mean_per_ue_bps_mean,throughput_mean_per_ue_bps_std,throughput_mean_per_ue_bps_ci95,thr_5pct_mean,thr_5pct_std,thr_5pct_ci95,nunca_mean,nunca_std,nunca_ci95,gini_slots_mean,gini_slots_std,gini_slots_ci95,gini_throughput_mean,gini_throughput_std,gini_throughput_ci95,j_beta_-3.0_mean,j_beta_-3.0_std,j_beta_-3.0_ci95,j_beta_-2.0_mean,j_beta_-2.0_std,j_beta_-2.0_ci95,j_beta_-1.0_mean,j_beta_-1.0_std,j_beta_-1.0_ci95,j_beta_+0.0_mean,j_beta_+0.0_std,j_beta_+0.0_ci95,j_beta_+0.5_mean,j_beta_+0.5_std,j_beta_+0.5_ci95,j_beta_+0.9_mean,j_beta_+0.9_std,j_beta_+0.9_ci95
MaxCI,2,False,,50,0.9999372173743828,7.973388621663333e-05,2.21011056805821e-05,0.9999283972509707,9.376885478323329e-05,2.599140048787779e-05,0.9566935600271265,0.0026386823058468503,0.0007314054195296152,5.0,0.0,0.0,14.68,2.004484767633186,0.5556148306155982,68476795.4,156785.0159147479,43458.58919316953,34238397.7,78392.50795737395,21729.294596584765,34029077.518,184360.7225030714,51102.185090018254,0.0,0.0,0.0,0.0032219999999999784,0.0023292540629557814,0.0006456362864647613,0.0033972183242742737,0.0025481149002348903,0.0007063014154778409,0.9998744923393608,0.00015934154715113835,4.4167223498007765e-05,0.9999058451264891,0.0001195590367082567,3.314007419854755e-05,0.9999372173743828,7.973388621663913e-05,2.210110568058371e-05,0.999968604024002,3.9877167522439244e-05,1.1053386903294468e-05,0.9999843011638777,1.9940443545373504e-05,5.527208957514041e-06,0.9999968601275959,3.98831935903339e-06,1.1055057244095572e-06
MaxCI,2,True,1.5,50,0.8595853958494931,0.1514772140073596,0.04198734156618114,0.831080488664106,0.16695644904040338,0.04627796661348383,0.8371130770875149,0.13472438780527743,0.0373436950576606,5.3,1.4033487645991785,0.38898843170459446,48.14,106.23693389047419,29.447375695637128,68648711.31917968,332719.88560219295,92225.24703920979,34324355.65958984,166359.94280109648,46112.623519604895,21623465.281220704,9541399.147829829,2644740.9114597025,0.0,0.0,0.0,0.17895200000000006,0.14331518603043703,0.03972494283654036,0.20503328046956082,0.1551659901367645,0.0430098181434106,0.8256696479606547,0.1612110166258292,0.04468541399877562,0.8387358113253621,0.1586238536243683,0.04396828900184739,0.8595853958494931,0.1514772140073596,0.04198734156618114,0.8983495101275354,0.12936746459516146,0.03585883170021851,0.933978784491976,0.09851001508635227,0.02730558307548072,0.9825356450989066,0.03244713561523726,0.008993887132456612
MaxCI,2,True,2.0,50,0.8213211189084698,0.16891265974672812,0.04682020055698563,0.7906754632543564,0.18120376552508127,0.050227121260694264,0.8026081584855622,0.1519359671037544,0.04211450143691877,5.2,1.5907898179514348,0.4409444409446614,168.94,734.8773439236272,203.69760726567216,68721442.82478333,397946.25515158003,110305.07426166593,34360721.41239166,198973.12757579001,55152.53713083296,19374075.89954416,10202874.897086823,2828092.634712612,0.0,0.0,0.0,0.214028,0.1564062411197983,0.04335359817655739,0.2415983892543674,0.16591569197487033,0.045989483473070185,0.787107320147474,0.17374158139839005,0.04815870934930344,0.7999737164927673,0.1730206202074952,0.047958869102858244,0.8213211189084698,0.16891265974672814,0.04682020055698564,0.8640613127756519,0.15090841049610998,0.04182967727675395,0.9073288036626623,0.12080346201766497,0.03348501129593295,0.9735184259780054,0.04451528363506783,0.012339007098521211
MaxCI,2,True,2.5,50,0.7901848109464216,0.17922508462023967,0.04967865889593208,0.7591709791003863,0.1882952812369224,0.05219278912939792,0.7741143723960134,0.16251627958275058,0.045047214431699345,4.96,1.8065639953756842,0.5007539914968226,109.1,307.9392499059726,85.35640526638875,68790386.30266601,449705.09257283766,124651.89203301203,34395193.151333004,224852.54628641883,62325.946016506015,17638721.163532715,10527739.649942867,2918140.5500401077,0.02,0.14142135623730948,0.03919999999999999,0.24210600000000004,0.16413638730255609,0.04549628538043078,0.2698116095385049,0.17119375228620654,0.04745248715023189,0.7569479558732372,0.1802522737342859,0.04996338119206849,0.7692360935011239,0.18084882650019754,0.05012873718246428,0.7901848109464216,0.17922508462023967,0.04967865889593208,0.8343329557776219,0.16578458337227103,0.045953142022538,0.882409799795871,0.13830420190793077,0.03833596890199099,0.9595988874763599,0.07952073647930546,0.02204202358771042
MaxCI,2,True,3.0,50,0.7645411965626756,0.18524713455678402,0.05134788597586768,0.7339724583743092,0.1914584223406781,0.053069567110929625,0.7504670663868686,0.16892471484660432,0.0468235420601908,4.76,1.901234829670186,0.526995407949633,205.5,689.5383918807937,191.13029093265146,68854366.60091767,490337.18743656774,135914.5341192998,34427183.30045883,245168.59371828387,67957.2670596499,16260798.30287178,10657098.888032386,2953997.1014692993,0.02,0.14142135623730948,0.03919999999999999,0.26502400000000004,0.16860369250562282,0.04673455920709641,0.292214922413012,0.17330153650068048,0.048036735126674224,0.732826047523247,0.18353036838504097,0.050872022671181225,0.7443975604078699,0.18505603859661282,0.051294916878144275,0.7645411965626756,0.18524713455678402,0.05134788597586768,0.8086497822691378,0.17612031736004263,0.048818061318325084,0.859718276141283,0.15154436344443564,0.0420059544405264,0.9505232417663048,0.08486694695808805,0.023523917527523933
MaxCI,2,True,3.5,50,0.743502627710241,0.18832018834452047,0.05219969302739339,0.7135848953676495,0.19243408554203553,0.05334000715273655,0.7309170007694687,0.17229360114063705,0.04775734969886514,4.44,2.1491336650390274,0.5957094593843545,178.32,487.0507428620235,135.00357815939546,68913101.49707642,522144.8430670205,144731.16644335614,34456550.74853821,261072.42153351026,72365.58322167807,15147137.750222595,10668851.443806384,2957254.7437278535,0.04,0.19794866372215744,0.0548685702383432,0.28376199999999996,0.17063836194521714,0.0472985408019148,0.31032687813858445,0.17350023150745134,0.04809181057265105,0.7133833463020328,0.18467568925206626,0.05118948941865078,0.7242582968585825,0.18687264844500567,0.051798455438031264,0.7435026277102409,0.18832018834452047,0.05219969302739339,0.7870132271274474,0.18257985228097584,0.05060855304911913,0.8397306907771516,0.1613940656676512,0.04473615260453034,0.9375833027127937,0.1050363945423884,0.029114603166104935
MaxCI,2,True,4.0,50,0.725716283208946,0.19000661183873258,0.05266714577096759,0.6968850530789203,0.19242180516393786,0.05333660320559422,0.7142356610005676,0.1742167869852358,0.04829042961772665,4.36,2.2475383359196726,0.6229858425357673,273.96,765.3539653290483,212.14529572573605,68965450.85655946,545499.8044166327,151204.8314488631,34482725.42827973,272749.9022083164,75602.41572443154,14234331.233731477,10632138.463993998,2947078.4249105556,0.04,0.19794866372215744,0.0548685702383432,0.29954000000000003,0.17156288666734612,0.04755480598046846,0.3251729293807687,0.17291189005924323,0.04792873064340007,0.6972539138854856,0.1848254832489017,0.05123101019622058,0.7074587796303597,0.18757369043980907,0.051992774365012706,0.725716283208946,0.19000661183873258,0.05266714577096759,0.7681298124757006,0.18695105999666212,0.05182019001127192,0.8215855206880889,0.16907127371521316,0.04686416610596665,0.9291330450958608,0.10860725758661077,0.030104395903622103
MaxCI,4,False,,50,0.9996878930829703,0.0002891397317091378,8.014544468078021e-05,0.9996646345545274,0.00030347122382778767,8.411793162333481e-05,0.9327158859767576,0.003428053201992501,0.0009502078688356847,11.0,0.0,0.0,34.04,4.140196189771195,1.1476038340821277,79378854.76,145915.98991585843,40445.848893596136,19844713.69,36478.99747896461,10111.462223399034,19459419.998,174800.04508984758,48452.10051602023,0.0,0.0,0.0,0.008529999999999989,0.0039602102603425605,0.0010977142797650046,0.008860126240888465,0.004142531925922177,0.0011482512671117252,0.999375114501851,0.0005813136848035632,0.0001611319326202864,0.9995315592062236,0.0004348893444876232,0.00012054517618476458,0.9996878930829703,0.00028913973170914526,8.014544468078228e-05,0.9998440587326072,0.0001441497128909174,3.995626188057453e-05,0.9999220608718374,7.196494036723806e-05,1.9947663757812942e-05,0.999984417543222,1.4374945600046807e-05,3.9845316330884815e-06
MaxCI,4,True,1.5,50,0.6945675742805697,0.20365208045706648,0.056449476700824515,0.662004734339714,0.21160868201721345,0.058654934132829226,0.6701489487612313,0.18340362819538847,0.05083689208294078,12.6,3.3073819722257785,0.9167595104497143,194.96,385.22709761216674,106.77950366320306,80750833.36904296,1274701.932587117,353329.3491653875,20187708.34226074,318675.48314677924,88332.33729134688,7526643.321518554,4940323.556596457,1369387.8249449988,0.0,0.0,0.0,0.3416910000000001,0.17524104760097078,0.04857434017554535,0.3704596590421769,0.18215878900074342,0.05049184026242082,0.6289593063372293,0.20401992477361255,0.05655143794339956,0.6533680426947681,0.20576888608747024,0.05703622528618375,0.6945675742805697,0.2036520804570665,0.05644947670082452,0.776109672411043,0.18441107876272572,0.051116143133067546,0.8538346789578132,0.1482880772714255,0.04110335796303397,0.9615212410165822,0.05056214829134368,0.014015112467842218
MaxCI,4,True,2.0,50,0.6228323944689581,0.21167332464112493,0.058672852154016054,0.5898615951457771,0.21567399828615902,0.05978178231179348,0.6046702915986853,0.19296769711694706,0.053487916735087265,12.44,3.8127605297399487,1.056843299642856,355.18,616.3552080164324,170.84494730556125,81256845.6830182,1453986.3324245368,403024.44940069946,20314211.42075455,363496.5831061342,100756.11235017487,5678053.513343292,4756993.826848403,1318571.4164666038,0.0,0.0,0.0,0.405744,0.1823945226755475,0.05055718230338395,0.4354770028525153,0.186664302413336,0.05174070486443511,0.5629160229143358,0.20316518217296414,0.05631451538207726,0.5845736964622362,0.20797095343865424,0.05764660721479122,0.6228323944689581,0.21167332464112493,0.058672852154016054,0.7060682882343062,0.2031586889431925,0.05631271555061035,0.7959505393688573,0.17450412004718993,0.04837007427910086,0.9400699883994398,0.07245922897512207,0.020084673569800173
